QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USABCWP.256.R12,"Yes, he does",51,"Thinking about Mikhail Gorbachev, the leader of the Soviet Union: Do you think Gorbachev seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABCWP.256.R12,"No, he doesn't",44,"Thinking about Mikhail Gorbachev, the leader of the Soviet Union: Do you think Gorbachev seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABCWP.256.R12,Don't know/No opinion,6,"Thinking about Mikhail Gorbachev, the leader of the Soviet Union: Do you think Gorbachev seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABCWP.256.R11,"Yes, he does",67,"Do you think Reagan seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABCWP.256.R11,"No, he doesn't",32,"Do you think Reagan seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABCWP.256.R11,Don't know/No opinion,2,"Do you think Reagan seriously wants to make progress in arms control, or not?",,,06/1/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,05/28/1987,06/1/1987,Y,National Adult,1509,Telephone Interview,
USABC.877222.Q19B,Favorable,77,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. I'm going to mention some of them and for each please tell me whether you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal. How about Reagan's proposal for working toward an arms control agreement with the Soviets. Do you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USABC.877222.Q19B,Unfavorable,19,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. I'm going to mention some of them and for each please tell me whether you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal. How about Reagan's proposal for working toward an arms control agreement with the Soviets. Do you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USABC.877222.Q19B,Don't know/No opinion,4,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. I'm going to mention some of them and for each please tell me whether you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal. How about Reagan's proposal for working toward an arms control agreement with the Soviets. Do you have a favorable or unfavorable view of what Reagan said tonight about how to achieve that goal?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USABC.877222.Q20B,Substantial progress,57,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. Do you think Reagan will be able to make substantial progress toward that goal... working toward an arms control agreement with the Soviets... before his term ends or not?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USABC.877222.Q20B,Not substantial progress,40,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. Do you think Reagan will be able to make substantial progress toward that goal... working toward an arms control agreement with the Soviets... before his term ends or not?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USABC.877222.Q20B,Don't know/No opinion,3,"In his speech tonight (8/12/87), President Reagan mentioned some goals he'd like to accomplish before the end of his term. Do you think Reagan will be able to make substantial progress toward that goal... working toward an arms control agreement with the Soviets... before his term ends or not?",,Saw/heard Reagan's speech (35%),08/12/1987,Chilton Research Services,ABC News,ABC News Poll,08/12/1987,08/12/1987,Y,National Adult,512,Telephone Interview,
USGBUSA.873039.Q33,Tried too hard,15,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,
USGBUSA.873039.Q33,Not hard enough,54,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,
USGBUSA.873039.Q33,About right,26,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,
USGBUSA.873039.Q33,Don't know,5,Do you think the Reagan administration has tried too hard or not hard enough to reach an arms control agreement with the Soviets?,,,09/1/1987,Gordon S. Black Corporation,USA Today,Gordon Black/USA Today Poll,09/1/1987,09/30/1987,N,National adults,1005,Telephone Interview,
USLAT.128.R43,Haven't heard enough,32,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,
USLAT.128.R43,Yes,32,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,
USLAT.128.R43,No,29,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,
USLAT.128.R43,Not sure,6,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,
USLAT.128.R43,Refused,1,"Would you consider it was appropriate, or not, for leaders of your religion to take a public position involving nuclear weapons and arms control--or haven't you heard enough about that yet to say?",,,08/1/1987,Los Angeles Times,,Los Angeles Times Poll,08/14/1987,08/19/1987,Y,National adult including an oversample of Catholics,2040,Telephone Interview,
USCBSNYT.291487.R10,Live up to agreement,65,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,09/14/1987,CBS News; New York Times,,CBS News/New York Times Poll,09/9/1987,09/10/1987,Y,National Adult,839,Telephone Interview,
USCBSNYT.291487.R10,Cheat,29,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,09/14/1987,CBS News; New York Times,,CBS News/New York Times Poll,09/9/1987,09/10/1987,Y,National Adult,839,Telephone Interview,
USCBSNYT.291487.R10,Don't know/No answer,6,"If the United States and the Soviet Union reached an agreement on arms control this year, do you think the United States would live up to the agreement or would it cheat?",,,09/14/1987,CBS News; New York Times,,CBS News/New York Times Poll,09/9/1987,09/10/1987,Y,National Adult,839,Telephone Interview,
USPENN.112487.R13,Abide,40,Should the United States continue to abide by arms control treaties that the Soviets are violating?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
USPENN.112487.R13,Not abide,48,Should the United States continue to abide by arms control treaties that the Soviets are violating?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
USPENN.112487.R13,Don't know,12,Should the United States continue to abide by arms control treaties that the Soviets are violating?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
USPENN.112487.R11,Sincere,39,Do you think Soviet leader (Mikhail) Gorbachev is sincere in wanting to limit arms on both sides or is his aim primarily to use arms control agreements as a way to lock in a Soviet advantage in arms?,,,11/24/1987,Penn & Schoen Associates,Committee on the Present Danger,"Arms Control, INF and the Summit Survey",10/31/1987,11/5/1987,Y,National adult,803,Telephone Interview,
