,QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote,year
592,USGALLUP.98CCFRP.R02,Crime (Violence/Hate crimes/Killings in school),26,What do you feel are the two or three biggest problems facing the country today?,Adds to more than 100% due to multiple responses. * = less than .5 percent,,12/1/1998,Gallup Organization,The Chicago Council on Foreign Relations,Gallup/CCFR Survey of American Public Opinion and U.S. Foreign Policy 1998,10/15/1998,11/10/1998,Y,National Adult,1507,Face-to-face interview,The study also had a separate sample of 379 opinion leaders conducted 11/02/98-12/21/98. The leaders were asked many of the same questions. The leaders results are available from the Roper Center.,1998
648,USHARRIS.02CCFRA.R0315,Terrorism,33,What do you feel are the two or three biggest foreign policy problems facing the United States today?,,"Asked of partial sample B, one quarter of telephone interviews plus all the in-person interviews (1/3 of sample). Adds to more than 100% due to multiple responses. * = less than .5 percent",10/2/2002,Harris Interactive,The Chicago Council on Foreign Relations,Worldviews 2002 Survey,06/1/2002,06/30/2002,Y,National adult including an oversample of 397 opinion leaders,3262,Telephone Interview,"The US Survey consists of 2862 telephone interviews and 400 in-person face to face interviews for a total of 3262 adults. Parallel surveys, were conducted in Great Britain, France, Germany, the Netherlands, Italy and Poland by M.O.R.I. June 5-July 6, 2002 with 1000 respondents in each European country.",2002
709,USABC.031003.R03,Threat to the U.S. (United States),22,What's the main reason you'd support going to war with Iraq/favor military action against Iraq?,,"Those who favor going to war with Iraq/military action against Iraq to force Saddam Hussein from power. Form A asked about going to war, Form B asked about military action against Iraq in the prior question. Adds to more than 100% due to multiple responses",03/10/2003,ABC News,,ABC News Poll,03/5/2003,03/9/2003,Y,National adult,1032,Telephone Interview,Interviews were conducted by TNS Intersearch,2003
720,USUMARY.012408.R18,Should negotiate,79,"There is a debate about whether the United States should negotiate an international treaty that would prohibit countries from testing or deploying weapons dedicated to attacking satellites.  Opponents say such a treaty is not a good idea, arms control does not work and it is inevitable that countries will build the capacity to destroy satellites.  Advocates say such a treaty is a good idea, many arms control agreements have proven to be effective and all the major countries have an interest in not having their satellites threatened.  Do you think the United States should or should not negotiate an international treaty that would prohibit countries from testing or deploying weapons dedicated to attacking satellites?",,United States respondents (n=1247).,01/24/2008,Program on International Policy Attitudes,,PIPA/Knowledge Networks Poll,09/14/2007,09/24/2007,Y,Adult residents of United States and Russia,2848,Web-based survey,"The poll was fielded by Knowledge Networks using its national panel which is randomly selected from the entire national population and subsequently provided Internet access, if needed.  A parallel survey was conducted in Russia by Levada Center.",2007
726,USNORC.63CD.R13F,10--Very likely,6,"(Now here are some cards. On these cards are printed various possible future situations which may exist in our civil defense. On this folder are pockets which show how likely something is. As before, the zero pocket on the bottom of the folder stands for something that is impossible or nearly impossible. The top pocket--10--stands for something you consider certain or just about certain to happen. Five means that something is as likely to happen as not--the chances are about fifty-fifty. Would you please put these cards into the pockets according to how likely it is that each situation will come about in five years or so--about 1968? You may use as many pockets as you want, and any number of cards may go into any pocket.)... There will be no shelters against nuclear weapons because arms control and disarmament steps will make nuclear war impossible.",,,12/1/1963,National Opinion Research Center (NORC),,Civil Defense,12/1/1963,12/31/1963,Y,National adult including an oversample of 21-24 year olds,1557,Face-to-face interview,,1963
737,USGALLUP.59IISR12.Q10A,Russia:  general mention (name only)/bad relations with/trouble with/etc.,14,"Now, I would like to ask you about several different kinds of problems. First, what do you think is the most important international or world problem at the present time?",Adds to more than 100% due to multiple responses. * = less than .5 percent,,08/1/1959,Gallup Organization,Institute for International Social Research,Hopes And Fears: Happiness Survey,08/1/1959,08/30/1959,Y,National adult,1549,Face-to-face interview,,1959
754,USGALLUP.1124.Q06B,"Reduce nuclear proliferation:  Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",6,"What do you think would be the advantages of such a treaty (Strategic Arms Limitation Treaty, or SALT II)?",Adds to more than 100% due to multiple responses. * = less than .5 percent.,,03/19/1979,Gallup Organization,,Gallup Poll (AIPO),03/16/1979,03/19/1979,Y,National adult,1563,Face-to-face interview,,1979
768,USABCHS.042779.R11D,Will,47,Do you feel the proposed new SALT (Strategic Arms Limitation Treaty) arms control agreement with Russia will...Slow down the nuclear arms build-up by both the U.S. and the Soviet Union through 1985...or not?,,,04/27/1979,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,04/6/1979,04/9/1979,Y,National adult,1200,Telephone Interview,,1979
771,USABCHS.102579.R2F,Agree,58,"(Now let me read you some statements that some people have made about the U.S. and Russia coming to a new SALT (Strategic Arms Limitation Talks/Treaty) arms agreement. For each, tell me if you agree or disagree.)...Although nuclear arms control is desirable, the SALT II treaty which President Carter negotiated does not adequately protect U.S. security",,,10/25/1979,ABC News; Louis Harris and Associates,,ABC News/Harris Survey,09/26/1979,10/1/1979,Y,National adult,1500,Telephone Interview,,1979
774,USGALLUP.1131.Q003B,"Reduce nuclear proliferation: Limit nuclear arms on both sides, control nuclear power, cease manufacture of atomic weapons, more nuclear control.",8,What do you think would be the advantages of such a treaty (Strategic Arms Limitation Talks-SALT II)?,Adds to more than 100% due to multiple responses. * = less than .5 percent,,06/25/1979,Gallup Organization,,Gallup Poll (AIPO),06/22/1979,06/25/1979,Y,National Adult,1571,Face-to-face interview,,1979
